Provider_Number,Facility_Name,Address,City,State,County,Profit_or_Non_Profit,Chain_Owned,Chain_Organization,No_Dialysis_Stations,Patient_Transfusion_category_text,transfusion_summary,hypercalcemia_summary,Serum_phosphorus_summary,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,hospitalization_summary,hospital_readmission_summary,survival_summary,Patient_Infection_category_text,Fistula_Category_Text,fistula_summary,long_term_catheter_summary,Npcr_summary,SWR_category_text,PPPW_category_text
82302,ALFRED I. DUPONT HOSPITAL FOR CHILDREN DIALYSIS CENTER,1600 ROCKLAND ROAD,WILMINGTON,DE,NEW CASTLE,Non-Profit,No,INDEPENDENT,6,Not Available,0,0,1,Not Available,Not Available,Not Available,3,7,31,Not Available,Not Available,1,1,6,Better than Expected,Not Available
82501,FRESENIUS KIDNEY CARE - BRANDYWINE,303 A STREET,WILMINGTON,DE,NEW CASTLE,Profit,Yes,FRESENIUS MEDICAL CARE,25,As Expected,51,63,63,As Expected,As Expected,As Expected,58,56,253,As Expected,As Expected,62,62,0,As Expected,As Expected
82502,FRESENIUS KIDNEY CARE - CENTRAL DELAWARE,BLUE HEN CORPORATE CENTER,DOVER,DE,KENT,Profit,Yes,FRESENIUS MEDICAL CARE,25,As Expected,67,109,110,As Expected,As Expected,As Expected,95,139,436,Better than Expected,As Expected,111,111,0,As Expected,As Expected
82503,FRESENIUS KIDNEY CARE - MID SUSSEX COUNTY,34 GEORGETOWN PLAZA,GEORGETOWN,DE,SUSSEX,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,29,88,89,As Expected,As Expected,As Expected,77,52,317,As Expected,As Expected,90,90,0,As Expected,As Expected
102591,NORTHEAST FLORIDA DIALYSIS CENTER,2141 LOCH RAND BLVD #113,ORANGE PARK,FL,CLAY,Profit,Yes,AMERICAN RENAL ASSOCIATES,24,As Expected,79,122,132,As Expected,As Expected,Better than Expected,110,138,436,Better than Expected,As Expected,114,114,0,As Expected,As Expected
52875,U.S. RENAL CARE CULVER CITY,"9808 VENICE BLVD., SUITE 200",CULVER CITY,CA,LOS ANGELES,Profit,Yes,"US RENAL CARE, INC.",18,As Expected,64,104,103,As Expected,As Expected,As Expected,76,153,315,Better than Expected,As Expected,107,107,1,As Expected,As Expected
52876,OROVILLE DIALYSIS CLINIC,3012 OLIVE HIGHWAY,OROVILLE,CA,BUTTE,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",15,As Expected,75,106,110,Worse than Expected,Worse than Expected,As Expected,89,181,360,As Expected,As Expected,103,103,0,As Expected,As Expected
52877,YUBA SUTTER DIALYSIS,2115 EAST ONSTOTT ROAD,YUBA CITY,CA,SUTTER,Profit,Yes,AMERICAN RENAL ASSOCIATES,21,Worse than Expected,77,107,120,As Expected,As Expected,Worse than Expected,97,166,384,As Expected,As Expected,121,121,0,As Expected,As Expected
52878,FMC-SAN BERNARDINO,"636 E. BRIER DRIVE, SUITE 150",SAN BERNARDINO,CA,SAN BERNARDINO,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,51,136,141,Worse than Expected,As Expected,Worse than Expected,68,73,260,Better than Expected,As Expected,143,143,0,As Expected,As Expected
112585,"FRESENIUS MEDICAL CARE WARNER ROBINS, LLC",703 NORTH HOUSTON ROAD,WARNER ROBINS,GA,HOUSTON,Profit,Yes,FRESENIUS MEDICAL CARE,1,Not Available,16,25,25,As Expected,Not Available,As Expected,16,6,65,Not Available,Not Available,3,3,0,Not Available,As Expected
112587,DCI EAST ALBANY,1314 RADIUM SPRINGS RD,ALBANY,GA,DOUGHERTY,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",20,As Expected,76,102,108,As Expected,As Expected,As Expected,85,54,401,Not Available,As Expected,106,106,0,As Expected,As Expected
112721,FMC DIALYSIS SERVICES WOODSTOCK,110 LONDONDERRY COURT,WOODSTOCK,GA,CHEROKEE,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,77,120,129,As Expected,As Expected,As Expected,98,107,318,As Expected,As Expected,96,96,0,As Expected,As Expected
112722,ARA AUGUSTA LLC,1000 TELFAIR ST,AUGUSTA,GA,RICHMOND,Profit,Yes,AMERICAN RENAL ASSOCIATES,30,Worse than Expected,48,147,153,As Expected,As Expected,As Expected,128,154,554,Better than Expected,As Expected,134,134,0,As Expected,As Expected
112723,DAVITA VIDALIA FIRST STREET DIALYSIS,906 E FIRST STREET,VIDALIA,GA,TOOMBS,Profit,Yes,DAVITA,21,As Expected,41,56,56,As Expected,As Expected,As Expected,45,43,171,As Expected,As Expected,57,57,0,Not Available,As Expected
112724,DAVITA MONTEZUMA DIALYSIS,114 DEVAUGHN AVENUE,MONTEZUMA,GA,MACON,Profit,Yes,DAVITA,12,As Expected,41,58,57,As Expected,As Expected,As Expected,47,49,190,As Expected,As Expected,60,60,0,Not Available,Worse than Expected
102775,DAVITA ORANGE CITY DIALYSIS,2575 S VOLUSIA AVE #400,ORANGE CITY,FL,VOLUSIA,Profit,Yes,DAVITA,16,As Expected,56,79,83,Worse than Expected,As Expected,Worse than Expected,67,119,319,Better than Expected,As Expected,83,83,0,As Expected,As Expected
102880,DAVITA WINTER GARDEN DIALYSIS,1222 WINTER GARDEN VINELAND ROAD,WINTER GARDEN,FL,ORANGE,Profit,Yes,DAVITA,16,As Expected,35,54,59,As Expected,As Expected,As Expected,48,53,187,Better than Expected,As Expected,60,60,0,Not Available,As Expected
102882,LEHIGH ACRES DIALYSIS CENTER LLC,3227 LEE BOULEVARD,LEHIGH ACRES,FL,LEE,Profit,Yes,AMERICAN RENAL ASSOCIATES,16,As Expected,89,115,118,As Expected,As Expected,As Expected,97,115,406,As Expected,As Expected,102,102,0,As Expected,As Expected
102883,RENAL CAREPARTNERS AT MEMORIAL WEST LLC,601 N FLAMINGO ROAD STE 109,HOLLYWOOD,FL,BROWARD,Profit,Yes,RENAL CARE PARTNERS,16,As Expected,41,72,76,As Expected,As Expected,As Expected,47,78,215,Better than Expected,As Expected,77,77,0,As Expected,As Expected
102884,DAVITA ORLANDO PARK DIALYSIS,"5397 WEST COLONIAL DRIVE, SUITE #120",ORLANDO,FL,ORANGE,Profit,Yes,DAVITA,24,As Expected,85,120,123,Worse than Expected,As Expected,As Expected,98,158,405,As Expected,As Expected,123,123,0,As Expected,As Expected
82505,FRESENIUS KIDNEY CARE - RIVERSIDE PARK,"RIVERSIDE MEDICAL ARTS COMPLEX, SUITE G2",WILMINGTON,DE,NEW CASTLE,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,78,110,115,As Expected,As Expected,As Expected,87,91,429,As Expected,As Expected,89,89,0,As Expected,As Expected
102557,FMC DIALYSIS SERVICES - SAINT AUGUSTINE,1680 OSCEOLA ELEMENTARY ROAD SUITE B,SAINT AUGUSTINE,FL,SAINT JOHNS,Profit,Yes,FRESENIUS MEDICAL CARE,17,As Expected,59,89,100,As Expected,As Expected,As Expected,68,69,335,As Expected,As Expected,78,78,0,Not Available,As Expected
102558,PHYSICIANS NORTH BEACH,17801 NW 2ND AVE,MIAMI,FL,MIAMI-DADE,Profit,No,INDEPENDENT,22,As Expected,152,224,244,As Expected,As Expected,Worse than Expected,190,213,739,As Expected,As Expected,245,245,0,As Expected,As Expected
102559,FLORIDA KIDNEY CENTER,7309 WEST OAKLAND PARK BLVD,LAUDERHILL,FL,BROWARD,Profit,Yes,FRESENIUS MEDICAL CARE,32,As Expected,97,152,158,As Expected,As Expected,As Expected,114,103,496,As Expected,As Expected,158,158,0,As Expected,As Expected
102563,DAVITA BAYONET POINT - HUDSON KIDNEY CENTER,14144 NEPHRON LN,HUDSON,FL,PASCO,Profit,Yes,DAVITA,16,As Expected,65,91,99,As Expected,As Expected,As Expected,76,84,329,Worse than Expected,As Expected,100,100,0,Worse than Expected,Worse than Expected
52879,HACIENDA DIALYSIS CENTER,"2020 S. HACIENDA BLVD., SUITE G",HACIENDA HEIGHTS,CA,LOS ANGELES,Profit,No,INDEPENDENT,19,As Expected,55,88,93,As Expected,As Expected,As Expected,64,56,284,As Expected,As Expected,89,89,0,As Expected,As Expected
52880,FMC-BELLFLOWER,10116 ROSECRANS AVENUE,BELLFLOWER,CA,LOS ANGELES,Profit,Yes,FRESENIUS MEDICAL CARE,36,As Expected,77,189,198,As Expected,Better than Expected,Worse than Expected,81,60,354,Better than Expected,As Expected,199,199,0,As Expected,As Expected
62574,DAVITA RED HAWK DIALYSIS,4348 WOODLAND BLVD STE 131,CASTLE ROCK,CO,DOUGLAS,Profit,Yes,DAVITA,8,As Expected,19,34,36,As Expected,As Expected,Better than Expected,25,26,109,As Expected,As Expected,19,19,0,Not Available,Better than Expected
62575,062575 PAVILION DIALYSIS (FMC),723 DELAWARE ST #M105,DENVER,CO,DENVER,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,74,126,128,As Expected,As Expected,As Expected,82,72,317,Better than Expected,As Expected,115,115,0,As Expected,As Expected
62576,DAVITA SABLE DIALYSIS,509 N SABLE BLVD,AURORA,CO,ADAMS,Profit,Yes,DAVITA,30,As Expected,113,186,193,As Expected,As Expected,As Expected,121,114,464,As Expected,Better than Expected,132,132,0,Better than Expected,Better than Expected
112725,DAVITA WRIGHTSVILLE DIALYSIS,2240 WEST ELM STREET,WRIGHTSVILLE,GA,JOHNSON,Profit,Yes,DAVITA,12,As Expected,37,39,44,As Expected,As Expected,As Expected,39,30,139,As Expected,As Expected,44,44,0,Not Available,As Expected
112726,DSI MONTICELLO DIALYSIS,1393 FUNDERBURG DRIVE,MONTICELLO,GA,JASPER,Profit,Yes,"US RENAL CARE, INC.",12,As Expected,23,23,23,As Expected,As Expected,As Expected,23,26,112,As Expected,As Expected,23,23,0,Not Available,As Expected
102748,DAVITA TEMPLE TERRACE DIALYSIS,11306 53RD ST,TEMPLE TERRACE,FL,HILLSBOROUGH,Profit,Yes,DAVITA,24,As Expected,90,147,152,As Expected,As Expected,As Expected,105,164,451,As Expected,As Expected,138,138,0,Worse than Expected,As Expected
102749,RCG - SACRED HEART - PED DIALYSIS,5151 N 9TH AVE,PENSACOLA,FL,ESCAMBIA,Profit,Yes,FRESENIUS MEDICAL CARE,7,Not Available,0,0,0,Not Available,Not Available,Not Available,2,0,16,Not Available,Not Available,0,0,2,Not Available,Not Available
102750,DAVITA ORLANDO SOUTHWEST DIALYSIS,6925 LAKE ELLENOR DR STE 650,ORLANDO,FL,ORANGE,Profit,Yes,DAVITA,18,As Expected,45,55,56,Worse than Expected,As Expected,As Expected,47,78,240,As Expected,As Expected,56,56,0,As Expected,As Expected
102885,DAVITA GREATER TAMPA AT HOME PD,4204 N. MAC DILL AVE,TAMPA,FL,HILLSBOROUGH,Profit,Yes,DAVITA,4,As Expected,47,72,76,As Expected,As Expected,As Expected,49,49,199,Not Available,As Expected,14,14,0,As Expected,As Expected
102886,DAVITA EAST TAMPA DIALYSIS,1701 E 9TH AVENUE,YBOR CITY,FL,HILLSBOROUGH,Profit,Yes,DAVITA,21,As Expected,73,114,116,Worse than Expected,Worse than Expected,As Expected,87,168,362,As Expected,As Expected,116,116,0,As Expected,As Expected
112619,DIALYSIS AMERICA INC ALPHARETTA DIALYSIS CENTER,1260 UPPER HEMBREE ROAD,ROSWELL,GA,FULTON,Profit,Yes,FRESENIUS MEDICAL CARE,17,As Expected,32,54,55,As Expected,As Expected,Better than Expected,43,40,177,Better than Expected,As Expected,38,38,0,Not Available,As Expected
112620,DAVITA DIALYSIS CENTER OF MIDDLE GEORGIA-WARNER ROBINS,509 NORTH HOUSTON RD,WARNER ROBINS,GA,HOUSTON,Profit,Yes,DAVITA,12,As Expected,52,85,91,As Expected,As Expected,Worse than Expected,62,61,244,As Expected,As Expected,82,82,0,As Expected,As Expected
112621,FRESENIUS MEDICAL CARE HALL COUNTY,1492 JESSE JEWELL PKWY SE,GAINESVILLE,GA,NA,Profit,Yes,FRESENIUS MEDICAL CARE,15,As Expected,84,108,114,As Expected,As Expected,As Expected,95,108,318,As Expected,As Expected,93,93,0,As Expected,As Expected
102564,RENAL CARE CENTER - SEBRING,40 MEDICAL CENTER AVE,SEBRING,FL,HIGHLANDS,Profit,Yes,FRESENIUS MEDICAL CARE,17,As Expected,86,127,135,As Expected,As Expected,Better than Expected,106,113,409,Better than Expected,As Expected,107,107,0,As Expected,As Expected
102694,BMA - AVON PARK,4833 SUN N LAKES BLVD,SEBRING,FL,HIGHLANDS,Profit,Yes,FRESENIUS MEDICAL CARE,14,As Expected,53,84,87,As Expected,As Expected,As Expected,68,94,307,As Expected,As Expected,87,87,0,As Expected,As Expected
102695,PHYSICIANS DIALYSIS - HUDSON,14153 YOSEMITE DR STE 102,HUDSON,FL,PASCO,Profit,No,INDEPENDENT,8,Not Available,22,31,35,As Expected,As Expected,As Expected,27,19,101,As Expected,As Expected,35,35,0,Not Available,As Expected
102696,DAVITA NEW SMYRNA BEACH DIALYSIS,110 S ORANGE ST,NEW SMYRNA BEACH,FL,VOLUSIA,Profit,Yes,DAVITA,12,As Expected,21,33,37,As Expected,As Expected,As Expected,28,26,136,As Expected,As Expected,38,38,0,Not Available,As Expected
102697,BMA - WEST ORLANDO,5600 W COLONIAL DR STE 101,ORLANDO,FL,ORANGE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,76,118,122,As Expected,Worse than Expected,As Expected,91,143,348,As Expected,As Expected,122,122,0,Not Available,As Expected
62577,DAVITA NORTHEASTERN COLORADO DIAYSIS,603 HOLLY DRIVE,STERLING,CO,LOGAN,Profit,Yes,DAVITA,12,As Expected,61,74,82,As Expected,As Expected,As Expected,67,81,252,As Expected,As Expected,74,74,0,As Expected,As Expected
62578,062578 -  WEST HAMPDEN DIALYSIS (FMC),750 WEST HAMPDEN AVE #110,ENGLEWOOD,CO,ARAPAHOE,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,47,84,83,As Expected,As Expected,As Expected,55,61,145,As Expected,As Expected,74,74,0,Not Available,As Expected
62579,DAVITA LOVELAND CENTRAL DIALYSIS,1453 N DENVER AVE,LOVELAND,CO,LARIMER,Profit,Yes,DAVITA,12,Not Available,16,23,24,As Expected,As Expected,As Expected,19,25,102,As Expected,As Expected,24,24,0,Not Available,As Expected
82525,"FRESENIUS MEDICAL CARE NORTHERN DELAWARE, LLC.",LANTANA SQUARE SHOPPING CENTER,HOCKESSIN,DE,NEW CASTLE,Non-Profit,Yes,FRESENIUS MEDICAL CARE,9,As Expected,32,57,62,As Expected,As Expected,As Expected,47,39,109,As Expected,As Expected,62,62,0,Not Available,As Expected
82526,"FRESENIUS MEDICAL CARE SOUTHERN DELAWARE, LLC",1198 SOUTH GOVERNORS AVENUE,DOVER,DE,KENT,Profit,Yes,FRESENIUS MEDICAL CARE,4,As Expected,28,40,44,As Expected,As Expected,As Expected,38,26,76,Not Available,As Expected,11,11,0,Not Available,Better than Expected
102751,DAVITA CELEBRATION DIALYSIS,1154 CELEBRATION BLVD,CELEBRATION,FL,OSCEOLA,Profit,Yes,DAVITA,20,As Expected,39,80,78,As Expected,As Expected,As Expected,46,76,207,As Expected,As Expected,82,82,0,As Expected,As Expected
102752,DAVITA BONITA SPRINGS DIALYSIS,9134 BONITA BEACH RD,BONITA SPRINGS,FL,LEE,Profit,Yes,DAVITA,16,As Expected,65,91,90,As Expected,As Expected,As Expected,83,57,303,Better than Expected,As Expected,93,93,0,Not Available,As Expected
102754,"BRIGHT KIDNEY CARE, LLC",2000 HARTMAN RD,FORT PIERCE,FL,SAINT LUCIE,Profit,Yes,AMERICAN RENAL ASSOCIATES,24,As Expected,83,162,166,Worse than Expected,As Expected,As Expected,125,226,567,Not Available,As Expected,157,157,0,Worse than Expected,As Expected
102861,GOLDTREE KIDNEY CENTER LLC,1407 SOUTHEAST GOLDTREE DRIVE STE A,PORT SAINT LUCIE,FL,SAINT LUCIE,Profit,Yes,AMERICAN RENAL ASSOCIATES,20,As Expected,33,126,131,As Expected,As Expected,As Expected,103,117,450,As Expected,As Expected,125,125,0,As Expected,As Expected
102863,DAVITA WEST BEACH DIALYSIS CENTER,16201 SUITE 102 PANAMA CITY BEACH PKWY,PANAMA CITY,FL,BAY,Profit,Yes,DAVITA,8,Not Available,23,25,25,As Expected,As Expected,As Expected,25,18,104,As Expected,As Expected,27,27,0,Not Available,As Expected
102864,GATEWAY DIALYSIS CENTER,5258-10 NORWOOD AVENUE,JACKSONVILLE,FL,DUVAL,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",24,As Expected,58,88,89,As Expected,As Expected,As Expected,71,89,317,Better than Expected,As Expected,89,89,0,Not Available,As Expected
112622,RCG LAWRENCEVILLE,350 PHILIP BLVD NW,LAWRENCEVILLE,GA,GWINNETT,Profit,Yes,FRESENIUS MEDICAL CARE,17,As Expected,81,113,115,As Expected,As Expected,As Expected,85,92,343,As Expected,As Expected,99,99,0,As Expected,As Expected
112624,DAVITA CANDLER COUNTY DIALYSIS,325 CEDAR ROAD,METTER,GA,CANDLER,Profit,Yes,DAVITA,20,As Expected,26,41,42,As Expected,As Expected,As Expected,31,37,129,As Expected,As Expected,43,43,0,Not Available,As Expected
112627,FMC OF SNELLVILLE INC,2096 MCGEE ROAD,SNELLVILLE,GA,GWINNETT,Profit,Yes,FRESENIUS MEDICAL CARE,11,As Expected,35,51,56,As Expected,As Expected,As Expected,44,48,190,As Expected,As Expected,56,56,0,As Expected,As Expected
102529,PHYSICIANS DIALYSIS TRINITY,9332 STATE ROAD 54,TRINITY,FL,PASCO,Profit,No,INDEPENDENT,13,As Expected,38,59,63,As Expected,As Expected,Worse than Expected,47,45,244,As Expected,As Expected,58,58,0,As Expected,As Expected
102530,BMA - HIALEAH,7170 W 20TH AVE,HIALEAH,FL,MIAMI-DADE,Profit,Yes,FRESENIUS MEDICAL CARE,27,As Expected,77,123,123,As Expected,As Expected,As Expected,89,110,332,As Expected,As Expected,118,118,0,As Expected,As Expected
102700,BMA - NORTH ORLANDO,750 S NORTH LAKE BLVD STE 1024,ALTAMONTE SPRINGS,FL,SEMINOLE,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,54,81,84,As Expected,As Expected,As Expected,62,64,243,As Expected,As Expected,83,83,0,Worse than Expected,As Expected
102701,DAVITA FORT LAUDERDALE DIXIE DIALYSIS,1299 EAST COMMERCIAL BLVD #100,OAKLAND PARK,FL,BROWARD,Profit,Yes,DAVITA,18,As Expected,70,113,116,As Expected,As Expected,As Expected,84,74,373,As Expected,As Expected,87,87,0,As Expected,As Expected
62555,062555 KIDNEY CENTER OF LAFAYETTE (ARA),2655 CRESCENT DR STE C,LAFAYETTE,CO,BOULDER,Profit,Yes,AMERICAN RENAL ASSOCIATES,24,As Expected,28,83,86,As Expected,As Expected,As Expected,52,43,261,As Expected,Better than Expected,70,70,0,Better than Expected,Better than Expected
62556,062556 KIDNEY CENTER OF LAKEWOOD (ARA),6166 W ALAMEDA AVE,DENVER,CO,JEFFERSON,Profit,Yes,AMERICAN RENAL ASSOCIATES,21,As Expected,55,95,98,As Expected,As Expected,As Expected,71,49,270,As Expected,As Expected,81,81,0,Not Available,As Expected
62557,062557 KIDNEY CENTER OF LONGMONT (ARA),1960 KEN PRATT BLVD STE A,LONGMONT,CO,BOULDER,Profit,Yes,AMERICAN RENAL ASSOCIATES,20,As Expected,50,105,111,As Expected,As Expected,As Expected,81,67,349,As Expected,Better than Expected,87,87,0,Better than Expected,As Expected
82527,"FRESENIUS MEDICAL CARE SOUTHERN DELAWARE, LLC",9115 ANTIQUE ALLEY,BRIDGEVILLE,DE,SUSSEX,Profit,Yes,FRESENIUS MEDICAL CARE,11,As Expected,34,55,55,As Expected,As Expected,As Expected,48,47,85,As Expected,As Expected,47,47,0,Not Available,As Expected
82528,"FRESENIUS MEDICAL CARE SOUTHERN DELAWARE, LLC",80 SALT CREEK DRIVE,DOVER,DE,NA,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,36,53,54,As Expected,As Expected,As Expected,47,60,69,As Expected,As Expected,58,58,0,Not Available,As Expected
82529,BIO-MEDICAL APPLICATIONS OF DELAWARE INC,1417 FOULK ROAD,WILMINGTON,DE,NA,Non-Profit,Yes,FRESENIUS MEDICAL CARE,12,Not Available,7,15,16,Not Available,Not Available,Not Available,11,3,14,As Expected,As Expected,17,17,0,Not Available,As Expected
82530,"BIO-MEDICAL APPLICATIONS OF DELAWARE, INC.","230 E. MAIN STREET, UNIT 325",NEWARK,DE,NA,Profit,Yes,FRESENIUS MEDICAL CARE,12,As Expected,24,37,38,As Expected,As Expected,As Expected,29,22,38,As Expected,As Expected,37,37,0,Not Available,As Expected
102592,APOPKA ARTIFICIAL KIDNEY CENTER,1065 W ORANGE BLOSSOM TRL,APOPKA,FL,ORANGE,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,43,69,73,As Expected,As Expected,As Expected,51,61,203,Better than Expected,As Expected,73,73,0,Not Available,As Expected
102593,DAVITA ZEPHYRHILLS DIALYSIS,36819 EILAND BLVD,ZEPHYRHILLS,FL,PASCO,Profit,Yes,DAVITA,24,As Expected,140,203,213,As Expected,As Expected,Worse than Expected,165,177,697,As Expected,As Expected,183,183,0,As Expected,As Expected
102865,FMC - MACCLENNY,244 NORTH 3RD STREET,MACCLENNY,FL,BAKER,Profit,Yes,FRESENIUS MEDICAL CARE,13,As Expected,43,65,66,As Expected,As Expected,As Expected,54,63,173,As Expected,As Expected,64,64,0,Not Available,As Expected
102866,DAVITA MIRAMAR KIDNEY CENTER,2501 DYKES RD SUITE 200,MIRAMAR,FL,BROWARD,Profit,Yes,DAVITA,16,As Expected,58,87,88,As Expected,As Expected,As Expected,67,68,247,As Expected,As Expected,89,89,0,As Expected,As Expected
102867,FRESENIUS KIDNEY CARE PALM COAST,515 PALM COAST PARKWAY SW,PALM COAST,FL,FLAGLER,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,26,44,46,As Expected,As Expected,As Expected,34,19,112,As Expected,As Expected,43,43,0,Not Available,As Expected
112588,WAYNESBORO DIALYSIS,163 S. LIBERTY ST,WAYNESBORO,GA,BURKE,Profit,Yes,AMERICAN RENAL ASSOCIATES,24,As Expected,27,100,106,As Expected,As Expected,Worse than Expected,74,65,291,Better than Expected,As Expected,106,106,0,As Expected,As Expected
112590,FRESENIUS MEDICAL CARE PERIMETER,5825 GLENRIDGE DRIVE,ATLANTA,GA,FULTON,Profit,Yes,FRESENIUS MEDICAL CARE,19,As Expected,74,108,114,As Expected,As Expected,As Expected,90,56,385,As Expected,As Expected,100,100,0,As Expected,As Expected
102531,DIALYSIS CLINIC INC,757 UNION STREET W,JACKSONVILLE,FL,DUVAL,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",32,As Expected,100,142,151,As Expected,As Expected,As Expected,125,167,553,As Expected,As Expected,116,116,0,As Expected,As Expected
102532,DAVITA INTERAMERICAN DIALYSIS CENTER,7815 CORAL WAY STE 115,MIAMI,FL,MIAMI-DADE,Profit,Yes,DAVITA,25,As Expected,79,125,131,As Expected,As Expected,As Expected,85,76,403,As Expected,Better than Expected,93,93,0,Not Available,Better than Expected
102534,NAPLES ARTIFICIAL KIDNEY CENTER,1750 SW HEALTH PARKWAY,NAPLES,FL,COLLIER,Profit,Yes,FRESENIUS MEDICAL CARE,21,As Expected,38,85,90,As Expected,As Expected,As Expected,54,29,237,As Expected,As Expected,78,78,0,Not Available,As Expected
102536,DAVITA PLANTATION DIALYSIS,7061 CYPRESS RD STE 103,PLANTATION,FL,BROWARD,Profit,Yes,DAVITA,25,As Expected,59,91,94,As Expected,As Expected,As Expected,70,101,323,As Expected,As Expected,97,97,0,As Expected,As Expected
102666,DAVITA MARIANNA DIALYSIS CENTER,2930 OPTIMIST DR,MARIANNA,FL,JACKSON,Profit,Yes,DAVITA,21,As Expected,82,109,113,As Expected,As Expected,Worse than Expected,92,60,379,As Expected,As Expected,92,92,0,As Expected,As Expected
102668,BMA - STARKE,444 W MADISON ST,STARKE,FL,BRADFORD,Profit,Yes,FRESENIUS MEDICAL CARE,26,As Expected,43,64,64,As Expected,As Expected,As Expected,53,99,265,As Expected,As Expected,64,64,0,Not Available,As Expected
62558,062558 KIDNEY CENTER OF WESTMINSTER (ARA),8410 DECATUR ST STE 200,WESTMINSTER,CO,JEFFERSON,Profit,Yes,AMERICAN RENAL ASSOCIATES,24,As Expected,72,164,171,As Expected,As Expected,As Expected,115,95,490,As Expected,Better than Expected,147,147,0,As Expected,As Expected
62559,DAVITA NORTH METRO DIALYSIS CENTER,12365 HURON ST STE 500,WESTMINSTER,CO,ADAMS,Profit,Yes,DAVITA,17,As Expected,55,89,94,As Expected,As Expected,As Expected,59,63,268,As Expected,Better than Expected,61,61,0,Not Available,As Expected
62560,062560 LIBERTY DIALYSIS - PUEBLO,850 EAGLERIDGE BLVD,PUEBLO,CO,PUEBLO,Profit,Yes,"US RENAL CARE, INC.",18,As Expected,67,101,103,As Expected,As Expected,As Expected,70,50,272,As Expected,As Expected,70,70,0,As Expected,As Expected
82506,FRESENIUS KIDNEY CARE - CHRISTIANA,UNIVERSITY PLAZA SHOPPING CENTER,NEWARK,DE,NEW CASTLE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,88,114,115,As Expected,As Expected,As Expected,99,72,358,As Expected,As Expected,118,118,0,As Expected,As Expected
82507,FRESENIUS KIDNEY CARE - MILFORD,656D NORTH DUPONT HIGHWAY,MILFORD,DE,SUSSEX,Profit,Yes,FRESENIUS MEDICAL CARE,25,As Expected,98,151,159,As Expected,As Expected,As Expected,140,153,531,Better than Expected,As Expected,129,129,0,As Expected,As Expected
102594,RENAL CARE CENTER - WELLINGTON,9835 LAKE WORTH RD STE 13,LAKE WORTH,FL,PALM BEACH,Profit,Yes,FRESENIUS MEDICAL CARE,19,As Expected,66,96,102,As Expected,As Expected,As Expected,83,71,390,Better than Expected,As Expected,92,92,0,As Expected,As Expected
102595,WEST KENDALL DIALYSIS CENTER,12000 SW 131ST AVE,MIAMI,FL,MIAMI-DADE,Profit,Yes,FRESENIUS MEDICAL CARE,25,Worse than Expected,79,113,116,Worse than Expected,As Expected,As Expected,90,122,373,Better than Expected,As Expected,119,119,0,As Expected,As Expected
102596,US RENAL CARE SARASOTA,1921 WALDEMERE ST STE 107,SARASOTA,FL,SARASOTA,Profit,Yes,DIVERSIFIED SPECIALTY INSTITUTES (DSI),37,As Expected,118,206,211,As Expected,As Expected,Better than Expected,172,214,691,Better than Expected,As Expected,182,182,1,As Expected,As Expected
102597,RENAL CARE CENTER - VERO BEACH,1515 INDIAN RIVER BLVD STE A-101,VERO BEACH,FL,INDIAN RIVER,Profit,Yes,FRESENIUS MEDICAL CARE,23,As Expected,83,110,117,As Expected,As Expected,As Expected,103,105,396,As Expected,Worse than Expected,106,106,0,As Expected,As Expected
52881,FMC-NEWPORT BEACH DIALYSIS,"3333 W. COAST HIGHWAY, SUITE 101",NEWPORT BEACH,CA,ORANGE,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,26,38,41,As Expected,As Expected,As Expected,31,13,202,Better than Expected,As Expected,41,41,0,Not Available,As Expected
112591,FMCNA CARTERSVILLE,14 ROVING ROAD SE,CARTERSVILLE,GA,BARTOW,Profit,Yes,FRESENIUS MEDICAL CARE,16,As Expected,64,82,85,As Expected,As Expected,As Expected,72,90,321,As Expected,As Expected,86,86,0,Not Available,As Expected
112594,DAVITA PAULDING DIALYSIS,4019 JOHNS ROAD,DALLAS,GA,PAULDING,Profit,Yes,DAVITA,16,Worse than Expected,36,47,51,As Expected,As Expected,As Expected,40,36,154,As Expected,As Expected,51,51,0,As Expected,As Expected
